STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Grand Total
GOA,2008,Food Poisioning/Accidental Intake of Ins,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2008,Spurious/poisionous liquor,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2008,Leakage of poisinous gases Etc.,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2008,Snake Bite/Animal Bite,0,0,0,1,0,1,0,0,1,0,0,1,2
GOA,2008,Other,0,0,0,1,0,1,0,0,0,1,0,1,2
GOA,2008,Stampede,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2008,Suffocation,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2008,Traffic Accidents (Road Accidents),6,99,87,59,39,290,6,12,12,6,7,43,333
GOA,2008,Traffic Accidents (Rail-Road Accidents),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2008,Other Railway Accidents,1,5,15,6,3,30,0,0,0,0,0,0,30
GOA,2008,Other Causes (Please Specify),9,36,117,83,56,301,3,15,12,14,17,61,362
GOA,2008,Causes Not Known,1,13,18,8,7,47,2,0,5,1,2,10,57
GOA,2008,Total,36,267,350,233,132,1018,17,52,44,34,39,186,1204
GOA,2008,Total Collapse,1,2,1,2,1,7,0,2,1,1,0,4,11
GOA,2008,Total Drowning,14,66,59,24,7,170,2,4,3,1,1,11,181
GOA,2008,Total Explosion,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2008,Total Falls,2,27,32,28,8,97,0,0,1,4,6,11,108
GOA,2008,Total Fire,2,4,2,2,2,12,2,17,9,5,6,39,51
GOA,2008,Total Sudden Deaths,0,6,14,15,7,42,2,2,0,1,0,5,47
GOA,2008,Total Poisoning,0,0,0,2,0,2,0,0,1,1,0,2,4
GOA,2008,Total Traffic Accidents,7,104,102,65,42,320,6,12,12,6,7,43,363
GOA,2009,Air-Crash,0,0,1,0,0,1,0,0,0,0,0,0,1
GOA,2009,Collapse of Structure(House),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Collapse of Structure(Building),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Collapse of Structure(Dam),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Collapse of Structure(Bridge),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Collapse of Structure(Others),0,7,3,0,0,10,0,0,0,0,0,0,10
GOA,2009,Drowning (Boat Capsize),0,1,0,0,1,2,0,0,0,1,0,1,3
GOA,2009,Drowning(Other Cases),10,49,57,31,13,160,5,1,10,1,1,18,178
GOA,2009,Electrocution,1,12,6,2,0,21,2,1,0,0,1,4,25
GOA,2009,Explosion (Bomb explosion),0,1,1,0,0,2,0,0,0,0,0,0,2
GOA,2009,"Explosion(Other explosion like Boilers,",0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Falls (Fall from Height),4,10,28,26,21,89,0,0,0,1,3,4,93
GOA,2009,Fall into Pit/Manhole,1,1,3,4,0,9,0,0,0,1,0,1,10
GOA,2009,Factory/Machine Accidents,0,4,0,0,0,4,0,1,0,0,0,1,5
GOA,2009,Fire (Fireworks/Crackers),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Fire (Short-Circuit),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Gas Cylinder/Stove Burst,0,0,0,0,0,0,0,5,0,1,0,6,6
GOA,2009,Other Fire Accidents,0,3,5,2,1,11,1,13,13,1,4,32,43
GOA,2009,Fire-Arms,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Sudden Deaths (Heart Attacks),0,1,1,4,2,8,0,0,0,0,0,0,8
GOA,2009,Epileptic Fits/Giddiness,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Abortions/Child Birth,0,0,0,0,0,0,0,1,0,0,0,1,1
GOA,2009,Influence of Alcohol,0,2,0,3,2,7,0,0,0,0,0,0,7
GOA,2009,Killed by animals,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Mines or quary disaster,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Food Poisioning/Accidental Intake of Ins,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Spurious/poisionous liquor,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Leakage of poisinous gases Etc.,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Snake Bite/Animal Bite,0,0,0,2,0,2,1,0,1,0,1,3,5
GOA,2009,Other,0,0,1,0,0,1,0,1,0,0,0,1,2
GOA,2009,Stampede,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Suffocation,0,0,0,0,0,0,0,0,0,0,1,1,1
GOA,2009,Traffic Accidents (Road Accidents),5,111,99,53,21,289,3,6,7,7,12,35,324
GOA,2009,Traffic Accidents (Rail-Road Accidents),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Other Railway Accidents,0,8,13,13,2,36,0,1,1,1,1,4,40
GOA,2009,Other Causes (Please Specify),2,10,13,5,6,36,2,7,9,2,1,21,57
GOA,2009,Causes Not Known,0,10,9,9,3,31,0,3,1,2,2,8,39
GOA,2009,Total,23,230,240,154,72,719,14,40,42,18,27,141,860
GOA,2009,Total Collapse,0,7,3,0,0,10,0,0,0,0,0,0,10
GOA,2009,Total Drowning,10,50,57,31,14,162,5,1,10,2,1,19,181
GOA,2009,Total Explosion,0,1,1,0,0,2,0,0,0,0,0,0,2
GOA,2009,Total Falls,5,11,31,30,21,98,0,0,0,2,3,5,103
GOA,2009,Total Fire,0,3,5,2,1,11,1,18,13,2,4,38,49
GOA,2009,Total Sudden Deaths,0,3,1,7,4,15,0,1,0,0,0,1,16
GOA,2009,Total Poisoning,0,0,1,2,0,3,1,1,1,0,1,4,7
GOA,2009,Total Traffic Accidents,5,119,112,66,23,325,3,7,8,8,13,39,364
GOA,2010,Air-Crash,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2010,Collapse of Structure(House),1,0,1,0,1,3,0,0,0,0,1,1,4
GOA,2010,Collapse of Structure(Building),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2010,Collapse of Structure(Dam),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2010,Collapse of Structure(Bridge),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2010,Collapse of Structure(Others),0,1,2,0,1,4,0,0,0,0,0,0,4
GOA,2010,Drowning (Boat Capsize),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2010,Drowning(Other Cases),5,52,54,36,14,161,4,2,6,6,6,24,185
GOA,2010,Electrocution,0,4,6,2,1,13,1,1,2,0,0,4,17
GOA,2010,Explosion (Bomb explosion),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2010,"Explosion(Other explosion like Boilers,",0,0,0,1,0,1,0,0,0,0,0,0,1
GOA,2010,Falls (Fall from Height),2,19,37,21,9,88,0,0,2,3,8,13,101
GOA,2010,Fall into Pit/Manhole,0,3,5,4,5,17,0,0,0,0,2,2,19
GOA,2010,Factory/Machine Accidents,0,5,2,0,0,7,0,0,0,0,0,0,7
GOA,2010,Fire (Fireworks/Crackers),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2010,Fire (Short-Circuit),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2010,Gas Cylinder/Stove Burst,0,3,1,0,1,5,0,3,2,0,1,6,11
GOA,2010,Other Fire Accidents,0,1,3,1,2,7,1,3,7,2,6,19,26
GOA,2010,Fire-Arms,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2010,Sudden Deaths (Heart Attacks),0,3,4,7,6,20,0,0,1,0,0,1,21
GOA,2010,Epileptic Fits/Giddiness,0,2,3,2,2,9,0,0,0,0,0,0,9
GOA,2010,Abortions/Child Birth,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2010,Influence of Alcohol,0,0,4,5,1,10,0,0,0,0,0,0,10
GOA,2010,Killed by animals,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2010,Mines or quary disaster,0,1,0,0,0,1,0,0,0,0,0,0,1
GOA,2010,Food Poisioning/Accidental Intake of Ins,0,0,0,1,1,2,0,2,0,0,0,2,4
GOA,2010,Spurious/poisionous liquor,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2010,Leakage of poisinous gases Etc.,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2010,Snake Bite/Animal Bite,0,0,1,0,0,1,1,0,1,1,1,4,5
GOA,2010,Other,0,1,0,0,1,2,0,2,0,1,1,4,6
GOA,2010,Stampede,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2010,Suffocation,1,0,0,0,0,1,0,0,0,0,0,0,1
GOA,2010,Traffic Accidents (Road Accidents),5,90,85,75,40,295,5,13,11,6,12,47,342
GOA,2010,Traffic Accidents (Rail-Road Accidents),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2010,Other Railway Accidents,0,15,21,8,2,46,0,1,1,2,5,9,55
GOA,2010,Other Causes (Please Specify),0,6,26,11,7,50,2,6,6,1,5,20,70
GOA,2010,Causes Not Known,1,4,19,7,3,34,1,5,3,0,2,11,45
GOA,2010,Total,15,210,274,181,97,777,15,38,42,22,50,167,944
GOA,2010,Total Collapse,1,1,3,0,2,7,0,0,0,0,1,1,8
GOA,2010,Total Drowning,5,52,54,36,14,161,4,2,6,6,6,24,185
GOA,2010,Total Explosion,0,0,0,1,0,1,0,0,0,0,0,0,1
GOA,2010,Total Falls,2,22,42,25,14,105,0,0,2,3,10,15,120
GOA,2010,Total Fire,0,4,4,1,3,12,1,6,9,2,7,25,37
GOA,2010,Total Sudden Deaths,0,5,11,14,9,39,0,0,1,0,0,1,40
GOA,2010,Total Poisoning,0,1,1,1,2,5,1,4,1,2,2,10,15
GOA,2010,Total Traffic Accidents,5,105,106,83,42,341,5,14,12,8,17,56,397
GOA,2011,Air-Crash,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2011,Collapse of Structure(House),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2011,Collapse of Structure(Building),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2011,Collapse of Structure(Dam),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2011,Collapse of Structure(Bridge),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2011,Collapse of Structure(Others),1,3,3,2,0,9,0,0,0,0,0,0,9
GOA,2011,Drowning (Boat Capsize),0,1,0,0,0,1,0,0,0,0,0,0,1
GOA,2011,Drowning(Other Cases),10,35,57,19,14,135,4,3,1,1,3,12,147
GOA,2011,Electrocution,1,13,3,1,1,19,0,2,0,0,0,2,21
GOA,2011,Explosion (Bomb explosion),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2011,"Explosion(Other explosion like Boilers,",0,1,1,0,0,2,0,0,0,0,0,0,2
GOA,2011,Falls (Fall from Height),1,11,29,28,17,86,0,1,2,1,4,8,94
GOA,2011,Fall into Pit/Manhole,0,2,5,3,7,17,0,0,0,0,2,2,19
GOA,2011,Factory/Machine Accidents,0,2,0,0,1,3,0,0,0,0,0,0,3
GOA,2011,Fire (Fireworks/Crackers),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2011,Fire (Short-Circuit),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2011,Gas Cylinder/Stove Burst,0,0,0,0,0,0,0,3,2,0,0,5,5
GOA,2011,Other Fire Accidents,4,3,5,3,1,16,1,9,2,1,6,19,35
GOA,2011,Fire-Arms,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2011,Sudden Deaths (Heart Attacks),0,0,1,4,2,7,0,0,1,1,0,2,9
GOA,2011,Epileptic Fits/Giddiness,0,2,1,1,0,4,0,0,0,0,0,0,4
GOA,2011,Abortions/Child Birth,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2011,Influence of Alcohol,0,0,4,2,0,6,0,0,0,0,0,0,6
GOA,2011,Killed by animals,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2011,Mines or quary disaster,0,1,1,1,0,3,0,0,0,0,0,0,3
GOA,2011,Food Poisioning/Accidental Intake of Ins,0,2,1,0,0,3,0,1,1,0,0,2,5
GOA,2011,Spurious/poisionous liquor,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2011,Leakage of poisinous gases Etc.,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2011,Snake Bite/Animal Bite,0,1,1,1,1,4,0,0,0,0,0,0,4
GOA,2011,Other,1,0,1,0,0,2,0,0,0,0,0,0,2
GOA,2011,Stampede,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2011,Suffocation,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2011,Traffic Accidents (Road Accidents),7,102,80,72,44,305,0,10,11,4,8,33,338
GOA,2011,Traffic Accidents (Rail-Road Accidents),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2011,Other Railway Accidents,1,7,25,6,2,41,0,0,1,0,0,1,42
GOA,2011,Other Causes (Please Specify),1,17,21,11,6,56,1,5,5,0,1,12,68
GOA,2011,Causes Not Known,0,7,17,4,4,32,0,6,5,0,0,11,43
GOA,2011,Total,27,210,256,158,100,751,6,40,31,8,24,109,860
GOA,2011,Total Collapse,1,3,3,2,0,9,0,0,0,0,0,0,9
GOA,2011,Total Drowning,10,36,57,19,14,136,4,3,1,1,3,12,148
GOA,2011,Total Explosion,0,1,1,0,0,2,0,0,0,0,0,0,2
GOA,2011,Total Falls,1,13,34,31,24,103,0,1,2,1,6,10,113
GOA,2011,Total Fire,4,3,5,3,1,16,1,12,4,1,6,24,40
GOA,2011,Total Sudden Deaths,0,2,6,7,2,17,0,0,1,1,0,2,19
GOA,2011,Total Poisoning,1,3,3,1,1,9,0,1,1,0,0,2,11
GOA,2011,Total Traffic Accidents,8,109,105,78,46,346,0,10,12,4,8,34,380
GOA,2012,Air-Crash,0,2,1,0,0,3,0,0,0,0,0,0,3
GOA,2012,Collapse of Structure(House),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,Collapse of Structure(Building),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,Collapse of Structure(Dam),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,Collapse of Structure(Bridge),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,Collapse of Structure(Others),0,2,1,0,0,3,0,0,0,0,0,0,3
GOA,2012,Drowning (Boat Capsize),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,Drowning(Other Cases),4,38,44,26,7,119,2,2,1,0,4,9,128
GOA,2012,Electrocution,0,7,9,4,1,21,0,0,2,0,0,2,23
GOA,2012,Explosion (Bomb explosion),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,"Explosion(Other explosion like Boilers,",0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,Falls (Fall from Height),2,19,28,22,14,85,1,1,0,2,6,10,95
GOA,2012,Fall into Pit/Manhole,2,2,5,3,7,19,0,0,0,0,1,1,20
GOA,2012,Factory/Machine Accidents,0,1,0,0,0,1,0,0,0,0,0,0,1
GOA,2012,Fire (Fireworks/Crackers),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,Fire (Short-Circuit),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,Gas Cylinder/Stove Burst,0,0,0,1,0,1,0,0,3,0,0,3,4
GOA,2012,Other Fire Accidents,0,2,2,1,2,7,0,5,5,2,3,15,22
GOA,2012,Fire-Arms,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,Sudden Deaths (Heart Attacks),0,0,2,3,3,8,0,0,0,0,0,0,8
GOA,2012,Epileptic Fits/Giddiness,0,0,1,0,0,1,0,0,0,1,0,1,2
GOA,2012,Abortions/Child Birth,0,0,0,0,0,0,0,2,1,0,0,3,3
GOA,2012,Influence of Alcohol,0,0,3,1,3,7,0,0,0,0,0,0,7
GOA,2012,Killed by animals,0,0,0,1,0,1,0,0,0,0,0,0,1
GOA,2012,Mines or quary disaster,0,3,0,0,0,3,0,0,0,0,0,0,3
GOA,2012,Food Poisioning/Accidental Intake of Ins,0,1,0,2,0,3,0,1,1,0,0,2,5
GOA,2012,Spurious/poisionous liquor,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,Leakage of poisinous gases Etc.,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,Snake Bite/Animal Bite,0,1,1,0,0,2,0,1,0,1,0,2,4
GOA,2012,Other,0,0,0,0,0,0,0,0,2,0,0,2,2
GOA,2012,Stampede,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,Suffocation,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,Traffic Accidents (Road Accidents),1,106,69,59,30,265,7,5,10,4,11,37,302
GOA,2012,Traffic Accidents (Rail-Road Accidents),0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,Other Railway Accidents,2,18,27,11,7,65,3,2,2,1,1,9,74
GOA,2012,Other Causes (Please Specify),0,12,14,18,10,54,2,7,8,3,3,23,77
GOA,2012,Causes Not Known,1,5,18,9,8,41,4,7,3,0,2,16,57
GOA,2012,Total,12,219,225,161,92,709,19,33,38,14,31,135,844
GOA,2012,Total Collapse,0,2,1,0,0,3,0,0,0,0,0,0,3
GOA,2012,Total Drowning,4,38,44,26,7,119,2,2,1,0,4,9,128
GOA,2012,Total Explosion,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,Total Falls,4,21,33,25,21,104,1,1,0,2,7,11,115
GOA,2012,Total Fire,0,2,2,2,2,8,0,5,8,2,3,18,26
GOA,2012,Total Sudden Deaths,0,0,6,4,6,16,0,2,1,1,0,4,20
GOA,2012,Total Poisoning,0,2,1,2,0,5,0,2,3,1,0,6,11
GOA,2012,Total Traffic Accidents,3,124,96,70,37,330,10,7,12,5,12,46,376
GUJARAT,2001,Air-Crash,0,1,0,0,0,1,0,0,0,0,0,0,1
GUJARAT,2001,Collapse of Structure(House),130,148,138,65,50,531,116,76,111,83,60,446,977
GUJARAT,2001,Collapse of Structure(Building),2,3,6,2,0,13,0,0,2,3,0,5,18
GUJARAT,2001,Collapse of Structure(Dam),0,0,0,2,1,3,0,0,0,1,0,1,4
GUJARAT,2001,Collapse of Structure(Bridge),0,0,0,1,1,2,0,0,0,0,0,0,2
GUJARAT,2001,Collapse of Structure(Others),8,22,13,15,2,60,5,5,5,3,1,19,79
GUJARAT,2001,Drowning (Boat Capsize),0,3,7,5,0,15,0,0,0,0,0,0,15
GUJARAT,2001,Drowning(Other Cases),80,249,246,124,45,744,33,41,45,31,9,159,903
GUJARAT,2001,Electrocution,28,176,125,55,6,390,8,26,29,6,5,74,464
GUJARAT,2001,Explosion (Bomb explosion),0,0,0,1,1,2,0,0,0,0,0,0,2
GUJARAT,2001,"Explosion(Other explosion like Boilers,",0,4,2,4,1,11,0,3,2,0,0,5,16
GUJARAT,2001,Falls (Fall from Height),53,161,218,111,38,581,13,31,21,23,10,98,679
GUJARAT,2001,Fall into Pit/Manhole,16,31,51,24,11,133,7,6,3,6,0,22,155
GUJARAT,2001,Factory/Machine Accidents,1,37,37,12,1,88,2,4,4,0,0,10,98
GUJARAT,2001,Fire (Fireworks/Crackers),1,5,1,0,0,7,2,5,3,1,0,11,18
GUJARAT,2001,Fire (Short-Circuit),5,48,60,17,11,141,4,26,24,2,2,58,199
GUJARAT,2001,Gas Cylinder/Stove Burst,10,72,58,26,10,176,27,222,157,41,8,455,631
GUJARAT,2001,Other Fire Accidents,40,111,146,59,30,386,90,484,328,148,68,1118,1504
GUJARAT,2001,Fire-Arms,0,3,2,0,0,5,0,0,0,0,0,0,5
GUJARAT,2001,Sudden Deaths (Heart Attacks),2,72,348,344,148,914,1,24,28,43,23,119,1033
GUJARAT,2001,Epileptic Fits/Giddiness,6,25,76,85,53,245,3,14,13,16,14,60,305
GUJARAT,2001,Abortions/Child Birth,0,0,0,0,0,0,0,18,7,0,0,25,25
GUJARAT,2001,Influence of Alcohol,0,5,18,10,3,36,0,0,2,2,1,5,41
GUJARAT,2001,Killed by animals,2,2,8,9,4,25,1,1,1,1,1,5,30
GUJARAT,2001,Mines or quary disaster,0,4,0,1,0,5,0,1,0,1,0,2,7
GUJARAT,2001,Food Poisioning/Accidental Intake of Ins,19,104,90,34,20,267,12,89,52,25,5,183,450
GUJARAT,2001,Spurious/poisionous liquor,0,8,6,0,0,14,1,5,2,0,0,8,22
GUJARAT,2001,Leakage of poisinous gases Etc.,0,6,9,4,1,20,0,2,1,0,0,3,23
GUJARAT,2001,Snake Bite/Animal Bite,23,60,64,39,13,199,7,26,27,22,5,87,286
GUJARAT,2001,Other,9,58,49,36,12,164,6,45,37,9,4,101,265
GUJARAT,2001,Stampede,0,0,1,1,0,2,0,0,0,0,0,0,2
GUJARAT,2001,Suffocation,0,10,18,7,8,43,0,3,4,2,1,10,53
GUJARAT,2001,Traffic Accidents (Road Accidents),246,1061,1303,924,216,3750,76,211,221,153,60,721,4471
GUJARAT,2001,Traffic Accidents (Rail-Road Accidents),0,3,6,8,2,19,0,0,3,0,0,3,22
GUJARAT,2001,Other Railway Accidents,16,251,423,202,76,968,6,35,67,25,15,148,1116
GUJARAT,2001,Other Causes (Please Specify),29,101,196,155,74,555,20,55,42,28,31,176,731
GUJARAT,2001,Causes Not Known,18,74,94,54,31,271,2,14,23,8,5,52,323
GUJARAT,2001,Total,744,2918,3819,2436,869,10786,442,1472,1264,683,328,4189,14975
GUJARAT,2001,Total Collapse,140,173,157,85,54,609,121,81,118,90,61,471,1080
GUJARAT,2001,Total Drowning,80,252,253,129,45,759,33,41,45,31,9,159,918
GUJARAT,2001,Total Explosion,0,4,2,5,2,13,0,3,2,0,0,5,18
GUJARAT,2001,Total Falls,69,192,269,135,49,714,20,37,24,29,10,120,834
GUJARAT,2001,Total Fire,56,236,265,102,51,710,123,737,512,192,78,1642,2352
GUJARAT,2001,Total Sudden Deaths,8,102,442,439,204,1195,4,56,50,61,38,209,1404
GUJARAT,2001,Total Poisoning,51,236,218,113,46,664,26,167,119,56,14,382,1046
GUJARAT,2001,Total Traffic Accidents,262,1315,1732,1134,294,4737,82,246,291,178,75,872,5609
GUJARAT,2002,Air-Crash,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2002,Collapse of Structure (House),8,5,12,5,3,33,3,3,1,2,3,12,45
GUJARAT,2002,Collapse of Structure (Building),0,1,4,0,0,5,0,0,0,1,0,1,6
GUJARAT,2002,Collapse of Structure (Dam),0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2002,Collapse of Structure (Bridge),0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2002,Collapse of Structure (Others),4,17,19,7,4,51,3,4,8,2,0,17,68
GUJARAT,2002,Drowning (Boat Capsize),0,4,6,4,1,15,0,0,0,0,0,0,15
GUJARAT,2002,Drowning (Other Cases),95,328,273,130,30,856,47,76,90,31,12,256,1112
GUJARAT,2002,Electrocution,34,161,114,46,7,362,9,26,28,10,5,78,440
GUJARAT,2002,Explosion (Bomb explosion),1,4,5,1,0,11,0,0,0,0,0,0,11
GUJARAT,2002,"Explosion(Other explosion like Boilers, Gas cylinder etc.)",1,6,5,2,1,15,0,2,1,1,0,4,19
GUJARAT,2002,Falls (Fall from Height),54,136,140,102,37,469,16,25,37,10,13,101,570
GUJARAT,2002,Fall into Pit/Manhole,10,34,68,37,18,167,7,11,15,14,3,50,217
GUJARAT,2002,Factory/Machine Accidents,1,41,39,11,2,94,1,3,5,2,2,13,107
GUJARAT,2002,Fire (Fireworks/Crackers),1,2,1,1,0,5,2,1,1,0,0,4,9
GUJARAT,2002,Fire (Short-Circuit),5,43,52,23,13,136,8,9,14,2,3,36,172
GUJARAT,2002,Gas Cylinder/Stove Burst,20,65,40,20,7,152,33,246,175,53,24,531,683
GUJARAT,2002,Other Fire Accidents,52,150,158,52,35,447,77,601,382,115,77,1252,1699
GUJARAT,2002,Fire-Arms,0,2,0,0,0,2,0,0,0,0,0,0,2
GUJARAT,2002,Sudden Deaths (Heart Attacks),3,70,301,346,150,870,0,16,36,39,33,124,994
GUJARAT,2002,Epileptic Fits/Giddiness,1,34,93,75,41,244,2,11,21,19,9,62,306
GUJARAT,2002,Abortions/Child Birth,0,0,0,0,0,0,0,14,4,0,0,18,18
GUJARAT,2002,Influence of Alcohol,0,6,14,11,6,37,0,0,0,1,0,1,38
GUJARAT,2002,Killed by animals,3,3,5,4,3,18,4,2,3,1,4,14,32
GUJARAT,2002,Mines or quary disaster,0,10,6,3,1,20,0,0,1,2,0,3,23
GUJARAT,2002,Food Poisioning/Accidental Intake of Insecticides etc.,11,79,92,44,16,242,12,80,62,27,13,194,436
GUJARAT,2002,Spurious/poisionous liquor,1,2,4,1,0,8,0,1,4,0,0,5,13
GUJARAT,2002,Leakage of poisinous gases Etc.,0,5,4,2,0,11,0,2,0,0,0,2,13
GUJARAT,2002,Snake Bite/Animal Bite,21,59,47,53,8,188,20,30,37,24,7,118,306
GUJARAT,2002,Other,12,45,59,46,18,180,18,50,32,11,8,119,299
GUJARAT,2002,Stampede,0,0,1,0,0,1,0,0,0,1,0,1,2
GUJARAT,2002,Suffocation,8,5,7,13,4,37,0,1,4,2,3,10,47
GUJARAT,2002,Traffic Accidents (Road Accidents),254,1220,1535,791,212,4012,84,231,251,109,28,703,4715
GUJARAT,2002,Traffic Accidents (Rail-Road Accidents),0,5,9,4,2,20,1,2,5,1,0,9,29
GUJARAT,2002,Other Railway Accidents,12,251,502,249,81,1095,11,39,65,31,22,168,1263
GUJARAT,2002,Other Causes (Please Specify),19,114,223,207,92,655,22,43,55,29,33,182,837
GUJARAT,2002,Causes Not Known,9,91,127,85,42,354,7,38,26,13,7,91,445
GUJARAT,2002,Total,640,2998,3965,2375,834,10812,387,1567,1363,553,309,4179,14991
GUJARAT,2002,Total Collapse,12,23,35,12,7,89,6,7,9,5,3,30,119
GUJARAT,2002,Total Drowning,95,332,279,134,31,871,47,76,90,31,12,256,1127
GUJARAT,2002,Total Explosion,2,10,10,3,1,26,0,2,1,1,0,4,30
GUJARAT,2002,Total Falls,64,170,208,139,55,636,23,36,52,24,16,151,787
GUJARAT,2002,Total Fire,78,260,251,96,55,740,120,857,572,170,104,1823,2563
GUJARAT,2002,Total Sudden Deaths,4,110,408,432,197,1151,2,41,61,59,42,205,1356
GUJARAT,2002,Total Poisoning,45,190,206,146,42,629,50,163,135,62,28,438,1067
GUJARAT,2002,Total Traffic Accidents,266,1476,2046,1044,295,5127,96,272,321,141,50,880,6007
GUJARAT,2003,Air-Crash,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2003,Collapse of Structure(House),2,7,11,15,1,36,5,4,2,1,2,14,50
GUJARAT,2003,Collapse of Structure(Building),0,0,0,1,2,3,0,0,1,0,0,1,4
GUJARAT,2003,Collapse of Structure(Dam),0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2003,Collapse of Structure(Bridge),1,0,0,0,0,1,0,0,0,0,0,0,1
GUJARAT,2003,Collapse of Structure(Others),11,33,40,26,6,116,0,4,6,5,1,16,132
GUJARAT,2003,Drowning (Boat Capsize),5,9,19,7,0,40,0,5,3,0,0,8,48
GUJARAT,2003,Drowning(Other Cases),141,359,357,172,51,1080,54,78,52,27,15,226,1306
GUJARAT,2003,Electrocution,17,140,126,52,13,348,8,28,40,7,2,85,433
GUJARAT,2003,Explosion (Bomb explosion),0,1,3,0,0,4,0,0,1,0,0,1,5
